away_team_name,home_team_name,away_team_wins,away_team_losses,home_team_wins,home_team_losses,away_team_runs,home_team_runs,away_team_hits,home_team_hits,away_team_errors,home_team_errors,winning_pitcher,date
Indians,Mariners,1 , 1 ,1 , 1 ,6,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/mariners"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/136.svg"" width=""100%""/></div></a>",6,10,0,0,Carrasco,2018-03-31
Red Sox,Rays,2 , 1 ,1 , 2 ,3,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/rays"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/139.svg"" width=""100%""/></div></a>",7,8,0,1,Porcello,2018-03-31
Twins,Orioles,1 , 1 ,1 , 1 ,6,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/orioles"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/110.svg"" width=""100%""/></div></a>",9,3,0,1,Gibson,2018-03-31
Phillies,Braves,1 , 2 ,2 , 1 ,2,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/braves"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/144.svg"" width=""100%""/></div></a>",6,19,4,0,McCarthy,2018-03-31
Cubs,Marlins,2 , 1 ,1 , 2 ,10,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/marlins"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/146.svg"" width=""100%""/></div></a>",13,10,0,1,Strop,2018-03-31
White Sox,Royals,2 , 0 ,0 , 2 ,4,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/royals"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/118.svg"" width=""100%""/></div></a>",8,6,0,0,Farquhar,2018-03-31
Rockies,D-backs,1 , 2 ,2 , 1 ,2,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/dbacks"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/109.svg"" width=""100%""/></div></a>",6,5,1,0,"Shaw, B",2018-03-31
Brewers,Padres,3 , 0 ,0 , 3 ,7,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/padres"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/135.svg"" width=""100%""/></div></a>",12,6,0,0,Suter,2018-03-31
Giants,Dodgers,2 , 1 ,1 , 2 ,0,"<a class=""sc-fznMAR foukKC"" href=""https://www.mlb.com/dodgers"" type=""primary""><div class=""sc-fznXWL cFdDQU""><img class=""sc-fzokvW fYTySW"" data-mlb-test=""teamLogos"" data-testid=""teamLogos"" src=""https://www.mlbstatic.com/team-logos/team-cap-on-light/119.svg"" width=""100%""/></div></a>",9,4,3,0,Maeda,2018-03-31
Pirates,Tigers,1 , 0 ,0 , 1 ,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,Game Cancelled,TBD,2018-03-31
